GeneID,importance,Symbol,Description
56254,0.0009744699973434,RNF20,ring finger protein 20
9637,0.0009744699973434,FEZ2,fasciculation and elongation protein zeta 2
55015,0.0009743829787234,PRPF39,pre-mRNA processing factor 39
51527,0.0009725474257981,GSKIP,GSK3B interacting protein
84953,0.0009725474257981,MICALCL,replaced by ID 9645
23039,0.0009725474257981,XPO7,exportin 7
7693,0.0009712509712509,ZNF134,zinc finger protein 134
57551,0.0009686486486486,TAOK1,TAO kinase 1
9352,0.0009679411497593,TXNL1,thioredoxin like 1
283578,0.0009652509652509,TMED8,transmembrane p24 trafficking protein family member 8
10479,0.0009639408537241,SLC9A6,solute carrier family 9 member A6
4140,0.0009639408537241,MARK3,microtubule affinity regulating kinase 3
22938,0.0009613111346857,SNW1,SNW domain containing 1
80853,0.0009527666399358,KDM7A,lysine demethylase 7A
23528,0.0009518477043673,ZNF281,zinc finger protein 281
27071,0.0009516542020534,DAPP1,dual adaptor of phosphotyrosine and 3-phosphoinositides 1
4664,0.0009427686864219,NAB1,NGFI-A binding protein 1
9520,0.0009427686864219,NPEPPS,aminopeptidase puromycin sensitive
1654,0.0009409716400778,DDX3X,DEAD-box helicase 3 X-linked
5277,0.0009396231003039,PIGA,phosphatidylinositol glycan anchor biosynthesis class A
54951,0.000938775510204,COMMD8,COMM domain containing 8
100526664,0.000938775510204,LY75-CD302,LY75-CD302 readthrough
820,0.0009378202230808,CAMP,cathelicidin antimicrobial peptide
90634,0.0009370603734677,N4BP2L1,NEDD4 binding protein 2 like 1
6672,0.0009273636363636,SP100,SP100 nuclear antigen
220869,0.0009195820433436,ZNG1E,Zn regulated GTPase metalloprotein activator 1E
4282,0.000917601742464,MIF,macrophage migration inhibitory factor
23582,0.000917601742464,CCNDBP1,cyclin D1 binding protein 1
101928143,0.0009156298247207,LOC101928143,uncharacterized LOC101928143
514,0.0009096104008694,ATP5F1E,ATP synthase F1 subunit epsilon
440068,0.0009090909090909,CARD17P,"caspase recruitment domain family member 17, pseudogene"
80232,0.0009068116372464,WDR26,WD repeat domain 26
643072,0.0009004255319148,BAZ2B-AS1,BAZ2B antisense RNA 1
105372385,0.0008985823674676,LOC105372385,uncharacterized LOC105372385
4928,0.0008960372960372,NUP98,nucleoporin 98 and 96 precursor
147837,0.000892664092664,ZNF563,zinc finger protein 563
25957,0.0008918177797434,PNISR,PNN interacting serine and arginine rich protein
23451,0.000889586089586,SF3B1,splicing factor 3b subunit 1
79029,0.0008839885038889,SPATA5L1,spermatogenesis associated 5 like 1
57149,0.0008817204301075,LYRM1,LYR motif containing 1
100505869,0.0008749999999999,CFAP58-DT,CFAP58 divergent transcript
1938,0.0008576821527041,EEF2,eukaryotic translation elongation factor 2
388730,0.0008566433566433,TMEM81,transmembrane protein 81
100526835,0.000852553778268,FPGT-TNNI3K,FPGT-TNNI3K readthrough
9926,0.0008503517581503,LPGAT1,lysophosphatidylglycerol acyltransferase 1
51124,0.0008497246262785,IER3IP1,immediate early response 3 interacting protein 1
1520,0.0008475268216544,CTSS,cathepsin S
23400,0.0008434318038969,ATP13A2,ATPase cation transporting 13A2
6947,0.0008429022714736,TCN1,transcobalamin 1
84502,0.0008402777777777,JPH4,junctophilin 4
9135,0.0008352123552123,RABEP1,"rabaptin, RAB GTPase binding effector protein 1"
220164,0.0008257016237988,DOK6,docking protein 6
5795,0.0008105854049719,PTPRJ,protein tyrosine phosphatase receptor type J
64231,0.0007962564579401,MS4A6A,membrane spanning 4-domains A6A
1577,0.0007888826343934,CYP3A5,cytochrome P450 family 3 subfamily A member 5
64788,0.0007866005373828,LMF1,lipase maturation factor 1
153090,0.0007814054366685,DAB2IP,DAB2 interacting protein
163590,0.0007810769147829,TOR1AIP2,torsin 1A interacting protein 2
199713,0.0007648417506454,NLRP7,NLR family pyrin domain containing 7
6166,0.0007553240021421,RPL36AL,ribosomal protein L36a like
55795,0.0007466519986372,PCID2,PCI domain containing 2
53822,0.0007460031460031,FXYD7,FXYD domain containing ion transport regulator 7
57515,0.0007344928219928,SERINC1,serine incorporator 1
255488,0.0007279952783789,RNF144B,ring finger protein 144B
132014,0.0007209212214402,IL17RE,interleukin 17 receptor E
84787,0.0007167745146839,KMT5C,lysine methyltransferase 5C
553158,0.0007159102790285,PRR5-ARHGAP8,PRR5-ARHGAP8 readthrough
28638,0.0007112156484215,TRBC2,T cell receptor beta constant 2
645332,0.0006997103094664,FAM86C2P,"family with sequence similarity 86, member A pseudogene"
83448,0.0006944011857943,PUS7L,pseudouridine synthase 7 like
100287098,0.0006932139342223,TONSL-AS1,TONSL antisense RNA 1
5144,0.000690909090909,PDE4D,phosphodiesterase 4D
3127,0.0006907726419921,HLA-DRB5,"major histocompatibility complex, class II, DR beta 5"
